leg_	p1	p2	rank1	rank2	rank3	rank4	rank5	rank6	p3a	p3b	p3c	p5	p6	p7	c2	c3	e41	votes93	winner93	libpct93	pcpct93	ndppct93	refpct93	bqpct93	c4	d1_41m	d1_52b	d1_53j	d1_54b	d1_66d	d1_79g	d1_83d	d1_84m	d1_85m	d1_86n	d1_87j	d1_88j	d1_89d	d1_90j	d1_91d	d1_94	d1_99	d1_109	d1_110	d1_111	d1_112	d1_113	d1_136m	d1_137m	d1_146m	d1_147m	d1_174h	d1_175g	d1_176h	d1_177m	d1_185i	d1_186i	d1_187c	d1_188h	d1_189j	d1_190g	d1_223m	d1_228h	d1_229i	d1_230i	d1_232i	d1_234i	d1_235i	d1_238i	d1_242b	d1_243b	d1_248h	d1_249h	d1_252i	d1_253f	d1_254	d1_255	d1_256	d1_257	d1_258	d1_259	d1_260	d1_261	d1_262	d1_263	d1_264	d1_265	d1_266	d1_267m	d1_268	d1_269	d1_270	d1_271	d1_272c	d1_273n	d1_274	d1_275	d1_276j	d1_277g	d1_278	d1_279	d1_280	d1_281	d1_282	d1_283	d1_284	d1_285	d1_286	d1_287	d1_288n	d1_289n	d1_290	d1_291	d1_292	d1_293	d1_294	d1_295	d1_296	d1_297	d1_299	d1_300j	d1_301i	d1_302i	d1_303i	d1_304d	d1_309c	d1_312m	d1_313m	d1_314m	d1_331m	d1_333	d1_334	d1_335	d1_336d	d1_344	d1_345	d1_346	d1_347	d1_348d	d1_349g	d1_350n	d1_351n	d1_352d	d1_353g	d1_373m	d1_374m	d1_375d	d1_376	d1_377d	d1_378d	d1_379j	d1_380	d1_381	d1_382	d1_383	d1_384g	d1_385	d1_386g	d1_392j	d1_393c	d1_394i	d1_395b	d1_397i	d1_398i	d1_399	d1_402m	d2_8j	d2_9j	d2_37b	d2_49m	d2_50h	d2_51j	d2_52d	d2_54m	d2_55h	d2_56	d2_57i	d2_58i	d2_59i	d2_60i	d2_61n	d2_62n	d2_63n	d2_64n	d2_65i	d2_66i	d2_67i	d_68n	d2_69n	d2_70n	d2_71n	d2_72i	d2_73n	d2_74d	d2_75j	d2_76g	d2_77j	d2_78c	d2_79j	d2_80j	d2_81j	d2_82c	d2_83j	d2_84j	d2_85d	d2_95n	d2_96c	d2_97m	d2_100d	d2_101d	d2_111d	d2_112d	d2_113j	d2_114j	d2_115m	d2_116m	d2_121j	d2_122j	d2_123d	d2_124m	d2_125m	d2_126m	d2_127m	d2_128m	d2_131c	d2_132d	d2_133h	d2_134g	d2_142g	d2_143j	d2_145j	d2_146c	d2_147j	d2_148i	d2_155m	d2_156m	d2_157j	d2_158j	d2_159m	d2_160j	d2_161j	d2_162j	d2_163d	d2_164d	d2_165j	d2_167g	d2_168l	d2_169i	d2_172j	d2_173b	d2_174b	d2_194n	d2_195c	d2_202m	d2_203m	d2_204m	d2_205j	d2_206j	d2_207j	d2_208j	d2_209e	d2_210d	d2_211j	d2_212j	d2_213j	d2_214	d2_215g	d2_232e	d2_233e	d2_234e	d2_235j	d2_236j	d2_237j	d2_238e	d2_239j	d2_240j	d2_241d	d2_242j	d2_243j	d2_244j	d2_245j	d2_246j	d2_247e	d2_248e	d2_249j	d2_250e	d2_251e	d2_252e	d2_253d	d2_254g	d2_260h	d2_261e	d2_262j	d2_263j	d2_265j	d2_264e	d2_266e	d2_267j	d2_268n	d2_269j	d2_270n	d2_271j	d2_272d	d2_273l	d2_274l	d2_282m	d2_283m	d2_284m	d2_285m	d2_286d	d2_287b	d2_288j	d2_289d	d2_293m	d2_294m	d2_307e	d2_308m	d2_309n	d2_310n	d2_311n	d2_312n	d2_314e	d2_315e	d2_316n	d2_317e	d2_318e	d2_319n	d2_320e	d2_321j	d2_322n	d2_323e	d2_324d	d2_325g	d2_326g	d2_328m	d2_333l
	"Date"	""																								940525	940608	940608	940608	940621	940622	940927	940927		941018	941018	941018	941018	941018																				950405	950405	950405	950517		950605	950605	950605					950606	950608	950608	950612				950612									950612											950613		950614	950614							950614					950614			950614				950615		950619			950619	950619	950619				950925				951104		951104	951104	951104				951117	951117	951121	951121	951128	951128	951128	951128		951128				951128	951128	951128	951211		951211		951212	951212	951212	951213																																																																																																																																																																										
	"Dates"	""																								1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+08	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07
	"date #"	""																								"open-ended question (legislators are free to decide)"	"absent"	"absent"	"absent"	"open-ended question (legislators are free to decide)"	"yes"	"no declaration"	"obstruction procedure"	"obstruction procedure"	"yes"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"no declaration"	"abstain"																																																																																																																																																																																																																																																																																																									
	"Issue Area"	""																								"yes"	"yes"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"yes"	"yes"	"yes"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"yes"	"yes"	"yes"	"yes"	"yes"	"open-ended question (legislators are free to decide)"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"open-ended question (legislators are free to decide)"	"yes"	"open-ended question (legislators are free to decide)"	"absent"	"yes"	"yes"	"yes"	"open-ended question (legislators are free to decide)"	"absent"	"absent"	"absent"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"absent"	"yes"	"yes"	"yes"	"yes"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"obstruction procedure"	"yes"	"yes"	"yes"	"yes"	"obstruction procedure"	"absent"	"absent"	"absent"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"yes"	"absent"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"open-ended question (legislators are free to decide)"	"yes"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"absent"	"yes"	"yes"	"no declaration"	"absent"	"absent"	"no declaration"	"absent"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"open-ended question (legislators are free to decide)"	"yes"	"yes"	"yes"	"yes"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"absent"	"yes"	"open-ended question (legislators are free to decide)"	"yes"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"yes"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"yes"	"yes"	"yes"	"yes"	"absent"	"yes"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"yes"	"yes"	"obstruction procedure"	"obstruction procedure"	"yes"	"yes"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"yes"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"no declaration"	"open-ended question (legislators are free to decide)"	6	"obstruction procedure"	"yes"	"yes"	"yes"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	6	"yes"	"absent"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	6	6	6	6	"open-ended question (legislators are free to decide)"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	6	"obstruction procedure"	"abstain"	"abstain"	6	6	"yes"	"yes"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	6	6	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"open-ended question (legislators are free to decide)"	"absent"	"absent"
	"Threshold"	""																																																																																																																																																																																																																																																										"abstain"	"abstain"																																																																																			
	"Name"	""																																																																																																																																																																																																																																																																																																																																														
1	"abbott"	"j"	"backbencher"	"backbencher"	"junior minister/minor portfolio critic/chief whip"	"junior minister/minor portfolio critic/chief whip"	"junior minister/minor portfolio critic/chief whip"	"junior minister/minor portfolio critic/chief whip"	"reform"	"ref"	"ref"	"no"	93	"male"	"british columbia"	"kootenay east"	"won"	35369	"reform"	22.37835	10.85697	14.4392	48.20605	0	"rural"	"no"	"no"	"yes"	"no"	"yes"	"no"	"no"	"no"	"no"	"yes"	"yes"	"no"	"yes"	"yes"	"no"			"yes"	"yes"	"yes"	"yes"	"no"	"yes"	"no"	"yes"	"no"	"yes"	"yes"	"yes"	"yes"	"yes"	"no"	"no"	"no"	"yes"	"no"	"yes"	"no"	"yes"	"yes"	"no"	"no"	"yes"	"no"	"no"	"no"	"no"	"no"	"yes"	"no"	"no"	"no"	"yes"	"yes"	"no"	"no"	"yes"	"yes"	"no"	"no"	"no"	"yes"	"yes"	"no"	"no"	"no"	"yes"	"no"	"no"	"no"	"no"	"no"	"yes"	"no"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"no"	"no"	"no"	"no"			"no"	"yes"	"yes"	"yes"	"no"	"yes"	"no"	"no"	"no"	"yes"	"no"	"yes"	"no"	"yes"	"no"	"yes"	"no"	"yes"	"no"	"yes"	"no"	"yes"	"no"						"no"	"no"	"no"	"yes"	"no"	"no"	"no"													"yes"	"no"	"yes"	"no"	"yes"	"yes"	"no"	"yes"	"yes"	"yes"	"no"		"no"	"yes"	"no"	"no"	"no"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"			"yes"	"yes"	"yes"	"no"	"yes"	"no"	"yes"	"no"	"no"	"yes"	"no"	"yes"	"yes"	"yes"	"no"				"no"		"no"	"no"	"no"	"yes"	"yes"	"yes"				"no"	"yes"	"yes"	"yes"	"yes"			"no"	"no"	"yes"	"yes"	"yes"	"no"	"yes"	"no"	"yes"	"no"	"yes"	"yes"	"yes"	"no"	"yes"	"no"	"no"	"yes"	"yes"				"yes"	"no"	"no"	"no"	"yes"	"no"	"yes"	"yes"																																			"no"	"no"	"yes"	"no"	"no"	"yes"	"no"	"no"	"yes"	"yes"	"no"	"yes"	"no"			"yes"	"yes"	"no"	"yes"	"no"	"no"	"yes"	"yes"																							"no"
2	"ablonczy"	"d"	"deputy whip"	"deputy whip"	"backbencher"	"backbencher"	"backbencher"	"backbencher"	"reform"	"ref"	"ref"	"no"	93	"female"	"alberta"	"calgary north"	"won"	67848	"reform"	26.38103	15.36375	2.346421	52.33463	0	"urban"	"no"	"no"	"yes"	"no"	"yes"	"no"	"no"	"no"	"no"	"yes"	"yes"	"no"	"yes"	"yes"	"no"		"no"								"yes"	"no"	"yes"	"yes"		"yes"	"yes"	"no"	"no"	"no"	"yes"	"no"	"no"	"no"	"yes"	"yes"	"no"	"no"	"yes"	"no"	"no"	"no"	"no"	"no"	"yes"	"no"	"no"	"no"	"yes"	"yes"	"no"	"no"	"yes"	"yes"	"no"	"no"	"no"	"yes"	"yes"	"no"	"no"	"no"	"yes"	"no"	"no"	"no"	"no"	"no"	"yes"	"no"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"yes"	"yes"	"yes"	"no"	"yes"	"no"	"no"	"no"	"yes"	"no"	"yes"	"no"	"yes"	"no"	"yes"	"no"	"yes"	"no"	"yes"	"no"	"yes"	"no"						"no"	"no"	"no"	"yes"	"no"	"no"	"no"													"yes"	"no"	"yes"	"no"	"yes"	"no"	"no"	"yes"			"no"	"yes"	"no"	"yes"	"no"	"no"	"no"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"no"	"yes"	"no"	"yes"	"no"	"no"	"yes"	"no"	"yes"	"yes"	"yes"	"no"	"no"	"yes"	"no"	"no"		"no"	"no"	"no"	"yes"	"yes"	"yes"	"no"	"no"	"no"	"no"	"yes"	"yes"	"yes"	"yes"	"yes"	"no"	"no"	"no"							"yes"	"no"	"yes"	"yes"	"yes"	"no"	"yes"	"no"	"no"	"yes"	"yes"									"no"			"yes"	"no"	"no"	"yes"	"no"	"no"	"no"	"yes"	"no"	"yes"	"no"																																											"no"	"no"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"no"	"yes"	"no"	"no"	"no"	"yes"	"no"	"no"	"no"	"no"	"no"	"yes"	"no"	"no"	"yes"	"no"
3	"adams"	"p"	"backbencher"	"backbencher"	"backbencher"	"backbencher"	"backbencher"	"backbencher"	"liberal"	"lib"	"lib"	"no"	93	"male"	"ontario"	"peterborough"	"won"	58244	"liberal"	47.34393	19.9557	5.246892	23.10453	0	"provincial"	"no"						"yes"	"yes"									"no"	"no"	"yes"	"no"	"no"	"no"			"yes"	"yes"	"yes"	"yes"	"yes"								"no"									"yes"	"yes"	"yes"	"no"	"no"	"no"	"no"	"no"	"no"	"yes"	"yes"	"no"	"no"	"yes"	"yes"	"no"	"no"	"yes"	"no"	"yes"	"no"	"no"	"yes"	"yes"	"no"	"yes"	"yes"	"no"	"yes"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"		"no"	"yes"	"no"	"yes"	"yes"	"no"	"yes"			"yes"	"yes"	"no"	"no"	"no"	"no"	"yes"	"yes"	"no"	"yes"	"no"		"no"	"yes"	"no"	"yes"	"no"	"no"	"no"	"no"	"yes"	"yes"		"no"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"no"	"no"	"yes"	"yes"	"no"	"no"	"yes"	"yes"	"no"	"yes"	"no"	"yes"	"no"	"yes"	"yes"	"yes"	"no"	"no"			"yes"	"no"	"yes"	"yes"	"yes"	"no"		"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"			"no"	"no"	"no"		"yes"	"no"	"yes"	"no"	"yes"	"no"	"no"	"no"	"yes"	"no"	"no"	"yes"				"yes"	"yes"	"yes"	"yes"	"no"	"no"	"no"	"no"								"no"	"yes"	"yes"	"yes"	"yes"	"yes"	"no"	"no"	"yes"	"no"	"no"	"no"	"yes"	"no"	"no"	"yes"	"no"	"no"	"no"	"yes"	"yes"	"no"	"yes"	"no"	"no"						"no"	"no"	"no"		"no"	"no"	"no"	"yes"		"no"	"no"	"no"	"yes"	"yes"	"yes"	"yes"	"yes"	"no"	"no"	"no"	"yes"	"no"	"no"	"yes"	"no"	"no"	"no"	"no"	"no"	"yes"	"yes"	"no"	"yes"	"yes"	"yes"	"yes"																	"no"	"no"	"no"	"no"	"yes"	"yes"	"no"	"yes"	"no"	"no"																				"no"	
4	"alcock"	"r"	"backbencher"	"backbencher"	"backbencher"	"backbencher"	"committee chair"	"committee chair"	"liberal"	"lib"	"lib"	"yes"	93	"male"	"manitoba"	"winnipeg-st james"	"won"	39464	"liberal"	54.76637	12.90797	6.578147	20.89499	0	"urban"	"no"				"yes"	"yes"	"yes"	"no"	"no"	"no"	"no"	"no"	"yes"	"no"	"yes"	"no"	"no"						"no"	"yes"			"yes"	"yes"	"yes"	"no"	"no"	"no"	"yes"	"yes"	"no"	"yes"	"yes"	"yes"	"no"	"no"	"no"	"no"	"no"	"no"	"yes"		"yes"	"yes"	"no"	"no"	"no"	"no"	"no"	"no"	"yes"	"yes"	"no"	"no"	"yes"	"yes"	"no"	"no"	"yes"	"no"	"yes"	"no"	"no"	"yes"	"yes"	"no"	"yes"	"yes"	"no"	"yes"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"		"no"	"yes"			"yes"	"no"	"yes"		"yes"	"yes"	"yes"											"no"	"yes"	"no"	"yes"	"no"	"no"	"no"	"no"	"yes"	"yes"	"no"	"no"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"no"	"no"	"yes"	"yes"	"no"	"no"	"yes"	"yes"	"no"	"yes"	"no"	"yes"	"no"	"yes"	"yes"	"no"	"no"	"no"	"yes"	"yes"	"yes"	"no"	"yes"	"yes"	"yes"	"no"		"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"				"no"	"no"		"yes"	"no"	"yes"	"no"	"yes"	"no"	"no"	"no"	"yes"	"no"	"no"	"yes"	"no"	"yes"	"no"	"yes"	"yes"	"yes"	"yes"	"no"	"no"	"no"	"no"	"no"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"							"no"	"yes"	"no"	"no"	"no"	"no"	"no"	"no"	"yes"	"no"	"no"	"no"	"yes"	"yes"	"no"	"yes"	"no"	"no"	"no"	"yes"	"yes"	"no"	"yes"	"yes"	"no"	"no"	"no"	"no"	"no"	"no"	"yes"	"yes"	"no"	"no"	"no"	"yes"	"yes"		"yes"	"yes"	"no"	"no"	"no"	"yes"	"no"	"no"	"yes"	"no"	"no"	"no"	"no"	"no"	"yes"	"yes"	"no"	"yes"	"yes"	"yes"	"yes"	"yes"														"no"		"no"	"no"	"no"	"no"	"yes"	"yes"	"no"	"yes"	"no"	"no"																		"yes"	"yes"	"no"	
